Ticker,Old_Type,New_Type,Reason
ANET,TYPE A,TYPE B,Technical 2026-09-21: trend=Uptrend; location=Near High; fundamental=Strong Up/PARTIAL
TDY,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Stable/MINIMUM_COMPLETE
TEAM,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Uptrend; location=Near High; fundamental=Stable/MINIMUM_COMPLETE
TECH,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Breakout; fundamental=Stable/MINIMUM_COMPLETE
TECK,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Pullback; fundamental=Stable/PARTIAL
TEL,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Near High; fundamental=Stable/MINIMUM_COMPLETE
TEM,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Uptrend; location=Near High; fundamental=Stable/MINIMUM_COMPLETE
TER,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Stable/MINIMUM_COMPLETE
TEVA,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Uptrend; location=Near High; fundamental=Stable/MINIMUM_COMPLETE
TFC,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Downtrend; location=Pullback; fundamental=Stable/PARTIAL
TFII,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Downtrend; location=Deep Pullback; fundamental=Stable/PARTIAL
TGT,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Pullback; fundamental=Stable/MINIMUM_COMPLETE
THC,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Pullback; fundamental=Stable/MINIMUM_COMPLETE
TIGO,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Pullback; fundamental=Stable/PARTIAL
TJX,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Insufficient/PENDING
TKO,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Mixed / Neutral; location=Deep Pullback; fundamental=Stable/MINIMUM_COMPLETE
TXG,NOT_IN_PRIOR_UNIVERSE,UNCLASSIFIED,Technical 2026-09-21: trend=Uptrend; location=Near High; fundamental=Insufficient/PENDING
